"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.62","1221","$204.4","1092","$143.98","143"
"Alaska","$289.76","289","$256.77","346","$388.58","26"
"Arizona","$301.63","2171","$208.85","1881","$193.97","253"
"Arkansas","$352.22","664","$184.4","623","$129.26","127"
"California","$246.34","13495","$192.79","14663","$192.64","869"
"Colorado","$237.27","2530","$196.96","2104","$228.95","152"
"Connecticut","$345.83","1446","$275.04","1522","$250.9","98"
"Delaware","$372.6","392","$226.25","317","$209.72","38"
"District of Columbia","$347.02","498","$291.1","413","$214.35","44"
"Florida","$304.72","7516","$218.68","6133","$152.44","579"
"Georgia","$329.52","3541","$214.65","2616","$154.62","250"
"Hawaii","$314.68","366","$276.83","406","$167.62","27"
"Idaho","$274.75","351","$255.61","514","$140.27","26"
"Illinois","$357.22","4543","$286.61","4149","$189.63","377"
"Indiana","$335.12","1892","$209.55","1686","$157.92","272"
"Iowa","$370.64","779","$292.58","757","$247.1","110"
"Kansas","$350.94","942","$261","744","$121.33","118"
"Kentucky","$338.94","1163","$183.17","1136","$126.04","147"
"Louisiana","$370.34","1220","$243.58","1008","$148.01","259"
"Maine","$318.78","506","$258.83","492","$216.72","56"
"Montana","$268.72","630","$250.49","303","$660.67","25"
"Nebraska","$344.69","580","$250.62","567","$140.02","68"
"Nevada","$267.71","1001","$227.25","1072","$243.46","66"
"New Hampshire","$360.8","479","$290.91","507","$677.38","41"
"New Jersey","$352.67","2483","$291.2","3206","$232.13","215"
"New Mexico","$291.36","630","$201.64","502","$80.21","47"
"New York","$349.99","6423","$266.61","6656","$205.61","523"
"North Carolina","$354.04","3196","$245.5","2231","$150.41","251"
"North Dakota","$391.94","165","$364.13","237","$347.51","17"
"Ohio","$336.15","3440","$215.38","3279","$164.9","440"
"Oklahoma","$366.67","859","$230.48","790","$121.24","151"
"Oregon","$210.47","1790","$185.9","1519","$166.42","73"
"Maryland","$376.28","2245","$250.11","1811","$189.87","166"
"Massachusetts","$350.13","3221","$294.17","2816","$219.35","240"
"Michigan","$295.18","3352","$273.03","2873","$228.49","245"
"Minnesota","$367.47","1937","$277.45","1809","$185.01","107"
"Mississippi","$341.34","477","$146.76","408","$141.39","118"
"Missouri","$368.31","1789","$245.11","1524","$148.95","228"
"Pennsylvania","$368.79","4404","$267.66","3733","$194.58","413"
"Rhode Island","$331.15","584","$259.31","408","$201.75","34"
"South Carolina","$344.36","1320","$202.49","1056","$186.91","139"
"South Dakota","$388.48","178","$355.47","195","$124.17","21"
"Tennessee","$356.53","1774","$225.94","1431","$189.4","173"
"Texas","$340.01","6760","$234.16","6603","$142.34","961"
"Utah","$290.98","770","$241.1","802","$189.95","49"
"Vermont","$376.45","303","$319.68","263","$190.36","26"
"Virginia","$371.2","2771","$288.37","2284","$225.22","233"
"Washington","$233.86","2634","$190.88","2675","$143.67","121"
"West Virginia","$358.09","430","$215.35","426","$158.25","46"
"Wisconsin","$356.02","1814","$270.76","1605","$242.49","140"
"Wyoming","$354.33","104","$370.55","148","$161.3","11"
